location,Basileia,Basileia,Basileia,Basileia,Basileia,Basileia,Basileia
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration
unit,°C,mm,%,%,%,%,min
level,2 m elevation corrected,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Basileia Temperature [2 m elevation corrected],Basileia Precipitation Total,Basileia Cloud Cover Total,Basileia Cloud Cover High [high cld lay],Basileia Cloud Cover Medium [mid cld lay],Basileia Cloud Cover Low [low cld lay],Basileia Sunshine Duration
20200106T0600,-1.1897546,0.0,39.0,24.0,0.0,39.0,0.0
20200106T0700,-1.2197546,0.0,35.0,12.0,0.0,35.0,0.0
20200106T0800,-1.0897546,0.0,36.0,12.0,0.0,36.0,27.766666
20200106T0900,-0.39975458,0.0,10.0,7.0,0.0,10.0,53.939396
20200106T1000,0.7302454,0.0,65.0,3.0,0.0,65.0,20.60606
20200106T1100,1.7702454,0.0,25.0,0.0,0.0,25.0,44.848488
20200106T1200,3.1102452,0.0,12.0,0.0,0.0,12.0,52.727272
20200106T1300,4.0502453,0.0,11.0,0.0,0.0,11.0,53.333332
20200106T1400,4.7602453,0.0,9.0,0.0,0.0,9.0,54.545452
20200106T1500,3.7102456,0.0,1.0,0.0,0.0,1.0,59.393936
20200106T1600,0.9902454,0.0,1.0,0.0,0.0,1.0,54.70842
20200106T1700,0.5902454,0.0,2.0,0.0,0.0,2.0,0.0
20200106T1800,0.4802454,0.0,0.0,0.0,0.0,0.0,0.0
20200106T1900,0.17024541,0.0,0.0,0.0,0.0,0.0,0.0
20200106T2000,0.4502454,0.0,0.0,0.0,0.0,0.0,0.0
20200106T2100,1.0202454,0.0,0.0,0.0,0.0,0.0,0.0
20200106T2200,1.1202455,0.0,0.0,0.0,0.0,0.0,0.0
20200106T2300,1.0802454,0.0,0.6,2.0,0.0,0.0,0.0
20200107T0000,0.89024544,0.0,2.1000001,7.0,0.0,0.0,0.0
20200107T0100,0.5602454,0.0,0.0,0.0,0.0,0.0,0.0
20200107T0200,1.3602455,0.0,7.0,0.0,1.0,7.0,0.0
20200107T0300,1.2302454,0.0,13.0,0.0,1.0,13.0,0.0
20200107T0400,1.6402454,0.0,50.0,0.0,29.0,50.0,0.0
20200107T0500,2.4002454,0.0,90.0,0.0,72.0,90.0,0.0
20200107T0600,2.9502454,0.0,100.0,38.0,67.0,100.0,0.0
20200107T0700,3.3002453,0.2,99.0,1.0,56.0,99.0,0.0
20200107T0800,3.5302453,0.1,93.0,0.0,40.0,93.0,2.6636364
20200107T0900,3.5102453,0.0,96.0,0.0,19.0,96.0,1.8181801
20200107T1000,4.5602455,0.0,95.0,10.0,29.0,95.0,2.4242413
20200107T1100,5.8102455,0.0,92.0,0.0,5.0,92.0,4.242425
20200107T1200,6.880245,0.0,88.0,0.0,2.0,88.0,6.666666
20200107T1300,7.3402452,0.0,86.0,0.0,1.0,86.0,7.878789
20200107T1400,7.4302454,0.0,86.0,0.0,12.0,86.0,7.878789
20200107T1500,7.2602453,0.0,80.0,2.0,4.0,80.0,11.515152
20200107T1600,6.8102455,0.0,75.0,0.0,3.0,75.0,13.680808
20200107T1700,6.1202455,0.0,71.0,0.0,16.0,71.0,0.0
20200107T1800,4.670245,0.0,69.0,6.0,37.0,69.0,0.0
20200107T1900,3.7602453,0.0,66.0,14.0,40.0,66.0,0.0
20200107T2000,3.2802453,0.0,56.0,1.0,36.0,56.0,0.0
20200107T2100,2.6302452,0.0,46.0,0.0,46.0,39.0,0.0
20200107T2200,0.9002454,0.0,19.0,0.0,0.0,19.0,0.0
20200107T2300,0.5302454,0.0,25.0,0.0,15.0,25.0,0.0
20200108T0000,0.5302454,0.0,25.0,1.0,8.0,25.0,0.0
20200108T0100,0.3802454,0.0,25.0,15.0,1.0,25.0,0.0
